t 36692 183831
v 0 4 1
v 1 4 70
v 2 1 1
v 3 3 5
v 4 0 8
v 5 3 62
v 6 2 9
v 7 2 14
v 8 2 1
v 9 3 39
v 10 4 4
v 11 4 5
v 12 1 5
v 13 0 15
v 14 4 1
v 15 2 6
v 16 1 5
v 17 3 1
v 18 0 5
v 19 1 3
v 20 1 1
v 21 2 4
v 22 4 1
v 23 0 1
v 24 0 1
v 25 1 2
v 26 0 1
v 27 1 78
v 28 1 1
v 29 3 1
v 30 3 2
v 31 3 3
v 32 0 2
v 33 4 1
v 34 1 1
v 35 0 3
v 36 4 1
v 37 2 1
v 38 3 1
v 39 2 18
v 40 3 1
v 41 3 3
v 42 1 4
v 43 3 1
v 44 4 10
v 45 0 25
v 46 0 112
v 47 0 1
v 48 2 1
v 49 1 10
v 50 4 11
v 51 0 7
v 52 4 3
v 53 0 111
v 54 1 102
v 55 1 16
v 56 4 309
v 57 0 1
v 58 2 2
v 59 2 11
v 60 2 12
v 61 2 1
v 62 3 12
v 63 4 1
v 64 1 1
v 65 4 4
v 66 0 1
v 67 3 1
v 68 3 1
v 69 4 6
v 70 3 2
v 71 1 297
v 72 2 4
v 73 4 293
v 74 1 125
v 75 4 232
v 76 1 125
v 77 0 455
v 78 2 422
v 79 0 1026
v 80 2 1245
v 81 1 146
v 82 0 133
v 83 0 170
v 84 3 468
v 85 3 1143
v 86 1 12
v 87 0 514
v 88 1 244
v 89 4 791
v 90 0 505
v 91 1 607
v 92 3 924
v 93 0 829
v 94 1 539
v 95 3 686
v 96 3 908
v 97 1 666
v 98 0 118
v 99 4 243
v 100 2 58
v 101 0 159
v 102 3 343
v 103 3 424
v 104 3 218
v 105 4 449
v 106 4 147
v 107 0 609
v 108 4 207
v 109 3 171
v 110 3 332
v 111 4 168
v 112 2 397
v 113 0 423
v 114 2 66
v 115 0 139
v 116 2 160
v 117 2 190
v 118 0 383
v 119 0 389
v 120 3 163
v 121 2 141
v 122 0 4
v 123 1 45
v 124 0 16
v 125 2 235
v 126 3 28
v 127 1 8
v 128 1 3
v 129 2 6
v 130 4 35
v 131 2 13
v 132 4 9
v 133 0 3
v 134 4 93
v 135 1 421
v 136 1 2
v 137 0 284
v 138 2 102
v 139 4 101
v 140 2 24
v 141 1 120
v 142 4 212
v 143 2 277
v 144 0 1367
v 145 2 190
v 146 1 35
v 147 4 209
v 148 1 1068
v 149 2 98
v 150 4 343
v 151 1 87
v 152 1 18
v 153 3 186
v 154 0 27
v 155 2 41
v 156 1 72
v 157 1 17
v 158 2 40
v 159 3 70
v 160 1 23
v 161 1 16
v 162 3 5
v 163 2 11
v 164 0 49
v 165 2 339
v 166 4 126
v 167 2 264
v 168 3 17
v 169 2 38
v 170 2 143
v 171 3 2
v 172 1 2
v 173 4 203
v 174 1 54
v 175 1 151
v 176 4 163
v 177 3 310
v 178 2 25
v 179 3 3
v 180 3 5
v 181 1 377
v 182 0 815
v 183 1 201
v 184 1 597
v 185 0 234
v 186 2 339
v 187 1 399
v 188 4 705
v 189 4 172
v 190 1 141
v 191 4 1261
v 192 2 538
v 193 3 405
v 194 3 62
v 195 2 295
v 196 4 386
v 197 3 1244
v 198 1 243
v 199 2 6
v 200 4 263
v 201 0 314
v 202 1 307
v 203 1 365
v 204 3 143
v 205 3 262
v 206 3 280
v 207 2 197
v 208 3 310
v 209 1 174
v 210 0 217
v 211 4 100
v 212 3 228
v 213 0 263
v 214 3 365
v 215 2 24
