t 37700 289003
v 0 3 1
v 1 1 32
v 2 2 8
v 3 3 2
v 4 0 40
v 5 2 106
v 6 3 489
v 7 2 689
v 8 4 405
v 9 4 34
v 10 3 2
v 11 0 2
v 12 4 39
v 13 4 3
v 14 2 5
v 15 0 1
v 16 4 29
v 17 4 20
v 18 3 29
v 19 0 19
v 20 4 2
v 21 3 3
v 22 4 7
v 23 2 1
v 24 3 7085
v 25 1 6
v 26 4 19
v 27 1 302
v 28 0 9458
v 29 3 56
v 30 3 350
v 31 2 8
v 32 3 105
v 33 0 534
v 34 4 667
v 35 3 3324
v 36 1 148
v 37 0 23
v 38 2 299
v 39 2 1797
v 40 3 8
v 41 1 18
v 42 3 29
v 43 1 41
v 44 1 19
v 45 1 5
v 46 3 331
v 47 1 12
v 48 0 8
v 49 1 1404
v 50 2 101
v 51 2 103
v 52 4 2343
v 53 1 558
v 54 3 167
v 55 4 209
v 56 1 7
v 57 3 14
v 58 3 22
v 59 4 2
v 60 4 3
v 61 4 7
v 62 2 77
v 63 4 66
v 64 3 12
v 65 0 967
v 66 0 13
v 67 0 1368
v 68 4 16
v 69 2 45
v 70 2 66
v 71 2 27
v 72 4 7
v 73 3 133
v 74 1 102
v 75 3 47
v 76 4 17
v 77 0 118
v 78 0 84
v 79 1 92
v 80 3 22
v 81 0 572
v 82 2 2958
v 83 2 11
v 84 0 27
v 85 0 19
v 86 2 15
v 87 3 55
v 88 4 32
v 89 1 297
v 90 3 75
v 91 1 70
v 92 3 635
v 93 0 7
v 94 2 138
v 95 4 87
v 96 3 5
v 97 3 9
v 98 0 73
v 99 3 31
v 100 3 292
v 101 3 94
v 102 2 21
v 103 3 29
v 104 3 96
v 105 4 19
v 106 4 71
v 107 2 108
v 108 4 15
v 109 3 2468
v 110 1 295
v 111 3 204
v 112 3 236
v 113 1 7
v 114 1 46
v 115 0 19
v 116 0 1055
v 117 1 1485
v 118 2 14
v 119 3 6
v 120 4 1571
v 121 0 66
v 122 3 11
v 123 3 28
v 124 1 258
v 125 2 31
v 126 0 9
v 127 3 2
v 128 4 6
v 129 0 523
v 130 0 10
v 131 2 25
v 132 4 16
v 133 1 7
v 134 3 1240
v 135 4 3
v 136 2 1316
v 137 2 18
v 138 4 77
v 139 1 96
v 140 2 110
v 141 2 49
v 142 0 328
v 143 1 385
v 144 1 456
v 145 1 30
v 146 2 489
v 147 4 307
v 148 1 40
v 149 3 12
v 150 2 67
v 151 0 576
v 152 1 544
v 153 0 265
v 154 1 18
v 155 0 37
v 156 3 181
v 157 0 24
v 158 1 74
v 159 2 102
v 160 4 122
v 161 2 1
v 162 3 282
v 163 4 94
v 164 0 1347
v 165 2 1924
v 166 2 200
v 167 3 3
v 168 0 35
v 169 1 117
v 170 0 3
v 171 4 5
v 172 2 137
v 173 3 4
v 174 3 101
v 175 3 91
v 176 0 282
v 177 3 684
v 178 1 33
v 179 0 26
v 180 4 63
v 181 2 403
v 182 2 79
v 183 0 304
v 184 2 618
v 185 1 928
v 186 2 982
v 187 0 78
v 188 2 40
v 189 3 132
v 190 0 17
v 191 3 7
v 192 0 31
v 193 0 412
v 194 2 10
v 195 4 780
v 196 3 76
v 197 4 51
v 198 0 14
v 199 0 48
v 200 1 47
v 201 2 55
v 202 0 68
v 203 3 125
v 204 3 179
v 205 2 12
v 206 0 31
v 207 1 90
v 208 2 34
v 209 2 55
v 210 3 7
v 211 4 121
v 212 1 32
v 213 2 7
v 214 3 23
v 215 2 53
v 216 3 12
v 217 4 12
v 218 1 97
v 219 1 2
v 220 2 10
v 221 1 145
v 222 1 5
v 223 0 65
v 224 4 25
v 225 3 47
v 226 0 423
v 227 0 18
v 228 4 69
v 229 2 5
v 230 3 49
v 231 3 312
v 232 1 108
v 233 2 23
v 234 3 1264
v 235 0 233
v 236 3 127
v 237 2 184
v 238 4 92
v 239 0 40
v 240 3 9
v 241 3 413
v 242 1 6
v 243 3 5
v 244 3 262
v 245 2 27
v 246 0 16
v 247 0 7
v 248 0 248
v 249 1 53
v 250 3 172
v 251 4 738
v 252 4 378
v 253 4 209
v 254 3 70
v 255 1 38
v 256 2 19
v 257 0 3
v 258 2 8
v 259 0 34
v 260 3 554
v 261 1 14
v 262 2 37
v 263 1 12
v 264 1 109
v 265 2 182
v 266 2 10
v 267 1 72
v 268 4 41
v 269 0 24
v 270 3 78
v 271 4 32
v 272 1 12
v 273 0 2
v 274 0 17
v 275 0 73
v 276 2 27
v 277 1 290
v 278 2 15
v 279 4 70
v 280 2 28
v 281 3 21
v 282 0 148
v 283 3 38
v 284 0 59
v 285 0 65
v 286 3 2
v 287 4 15
v 288 2 3
v 289 2 20
v 290 4 52
v 291 3 15
v 292 2 14
v 293 4 58
v 294 3 6
v 295 0 56
v 296 1 25
v 297 0 32
v 298 4 61
v 299 1 21
v 300 2 12
v 301 2 164
v 302 4 17
v 303 1 117
v 304 1 82
v 305 3 13
v 306 1 5
v 307 4 32
v 308 3 18
v 309 2 1568
v 310 4 18
v 311 4 60
v 312 0 7
v 313 4 67
v 314 3 57
v 315 4 43
v 316 1 124
v 317 1 11
v 318 2 77
v 319 3 9
v 320 2 18
v 321 0 2
v 322 3 19
v 323 2 1
v 324 4 3
v 325 1 2
v 326 4 6
v 327 1 613
v 328 0 785
v 329 4 7
v 330 2 10
v 331 0 15
v 332 0 245
v 333 3 15
v 334 0 37
v 335 0 34
v 336 3 2
v 337 4 32
v 338 3 13
v 339 3 2
v 340 4 93
v 341 2 8
v 342 3 4
v 343 0 37
v 344 3 9
v 345 0 5
v 346 0 5
v 347 3 51
v 348 3 13
v 349 2 95
v 350 3 9
v 351 1 13
v 352 1 54
v 353 4 5
v 354 2 155
v 355 1 16
v 356 0 11
v 357 2 1507
v 358 0 21
v 359 1 56
v 360 3 6
v 361 0 8
v 362 2 45
v 363 0 9
v 364 2 11
v 365 1 61
v 366 1 51
v 367 4 294
v 368 4 905
v 369 2 5
v 370 3 62
v 371 3 25
v 372 4 9
v 373 1 49
v 374 0 8
v 375 4 35
v 376 0 7
v 377 3 243
v 378 0 96
v 379 2 176
v 380 1 933
v 381 2 52
v 382 4 58
v 383 2 35
v 384 3 97
v 385 3 11
v 386 1 55
v 387 3 26
v 388 2 81
v 389 2 26
v 390 1 17
v 391 1 12
v 392 3 22
v 393 2 136
v 394 0 9
v 395 1 11
v 396 1 59
v 397 0 27
v 398 2 27
v 399 0 53
v 400 1 72
v 401 4 9
v 402 4 942
v 403 2 58
v 404 1 82
v 405 3 63
v 406 0 7
v 407 2 203
v 408 1 2
v 409 2 257
v 410 3 45
v 411 1 98
v 412 3 11
v 413 3 99
v 414 1 23
v 415 3 24
v 416 1 31
v 417 1 258
v 418 1 510
v 419 0 41
v 420 4 76
v 421 1 59
v 422 1 26
v 423 1 14
v 424 4 21
v 425 3 94
v 426 1 81
v 427 2 62
v 428 0 34
v 429 4 9
v 430 2 5
v 431 4 5
v 432 0 11
v 433 3 48
v 434 0 35
v 435 1 30
v 436 2 10
v 437 0 8
v 438 0 15
v 439 3 127
v 440 4 10
v 441 1 61
v 442 1 45
v 443 0 259
v 444 4 16
v 445 1 16
v 446 0 11
