t 36692 183831
v 0 3 223
v 1 1 31
v 2 0 112
v 3 0 12
v 4 3 9
v 5 2 5
v 6 3 229
v 7 0 137
v 8 1 446
v 9 0 12
v 10 4 38
v 11 2 13
v 12 2 15
v 13 0 27
v 14 4 10
v 15 4 7
v 16 1 666
v 17 2 43
v 18 4 92
v 19 4 31
v 20 3 28
v 21 2 20
v 22 2 791
v 23 2 1
v 24 0 162
v 25 2 39
v 26 3 192
v 27 1 10
v 28 3 80
v 29 2 42
v 30 0 47
v 31 3 55
v 32 4 157
v 33 3 11
v 34 0 163
v 35 1 2
v 36 2 552
v 37 3 27
v 38 0 9
v 39 2 4
v 40 4 58
v 41 1 7
v 42 0 36
v 43 3 281
v 44 3 28
v 45 2 81
v 46 0 26
v 47 1 396
v 48 1 180
v 49 0 145
v 50 4 15
v 51 2 86
v 52 2 39
v 53 2 45
v 54 3 29
v 55 4 23
v 56 1 6
v 57 4 70
v 58 0 6
v 59 1 17
v 60 0 47
v 61 4 597
v 62 2 13
v 63 3 142
v 64 1 60
v 65 4 279
v 66 1 166
v 67 2 2
v 68 1 3
v 69 0 26
v 70 1 34
v 71 4 5
v 72 4 3
v 73 4 3
v 74 4 103
v 75 2 32
v 76 0 119
v 77 3 58
v 78 2 1367
v 79 4 1
v 80 1 89
v 81 0 17
v 82 2 103
v 83 2 16
v 84 1 230
v 85 1 214
v 86 0 18
v 87 3 479
v 88 1 190
v 89 4 2
v 90 0 591
v 91 0 90
v 92 1 147
v 93 3 253
v 94 3 101
v 95 3 123
v 96 2 157
v 97 4 91
v 98 1 138
v 99 1 11
v 100 3 35
v 101 0 64
v 102 0 218
v 103 1 7
v 104 2 1383
v 105 2 3
v 106 4 3
v 107 0 3
v 108 2 8
v 109 0 12
v 110 2 312
v 111 1 54
v 112 4 129
v 113 4 94
v 114 3 139
v 115 1 1
v 116 2 63
v 117 1 32
v 118 1 176
v 119 1 115
v 120 1 150
v 121 4 57
v 122 1 42
v 123 2 42
v 124 4 2
v 125 2 32
v 126 2 6
v 127 4 8
v 128 4 5
v 129 4 339
v 130 3 61
v 131 2 50
v 132 4 15
v 133 2 45
v 134 4 4
v 135 1 5
v 136 1 19
v 137 2 1
v 138 2 1
v 139 3 38
v 140 1 51
v 141 1 459
v 142 4 34
v 143 1 468
v 144 2 12
v 145 0 25
v 146 4 27
v 147 4 123
v 148 2 91
v 149 0 3
v 150 3 3
v 151 3 32
v 152 1 5
v 153 3 284
v 154 3 23
v 155 3 26
v 156 3 12
v 157 0 45
v 158 1 4
v 159 0 19
v 160 3 8
v 161 2 424
v 162 1 3
v 163 3 12
v 164 4 9
v 165 0 607
v 166 3 88
v 167 3 263
v 168 0 15
v 169 4 705
v 170 1 74
v 171 3 60
v 172 4 343
v 173 1 253
v 174 3 113
v 175 2 229
v 176 1 209
v 177 1 389
v 178 2 8
v 179 3 542
v 180 1 1
v 181 3 200
v 182 4 23
v 183 2 2
v 184 2 2
v 185 1 261
v 186 2 28
v 187 1 73
v 188 0 6
v 189 2 32
v 190 0 1
v 191 0 338
v 192 2 3
v 193 4 103
v 194 2 286
v 195 1 383
v 196 4 32
v 197 4 834
v 198 3 20
v 199 2 54
v 200 3 29
v 201 2 233
v 202 0 3
v 203 0 30
v 204 2 4
v 205 2 302
v 206 1 19
v 207 1 64
v 208 0 9
v 209 1 14
v 210 4 5
v 211 2 21
v 212 1 10
v 213 1 49
v 214 2 4
v 215 4 124
v 216 3 4
v 217 2 7
v 218 2 4
v 219 4 6
v 220 0 40
v 221 4 3
v 222 1 160
v 223 4 13
v 224 3 280
v 225 0 46
v 226 3 32
v 227 2 3
v 228 4 924
v 229 0 24
v 230 4 17
v 231 3 52
v 232 0 44
v 233 2 36
v 234 0 85
v 235 1 79
v 236 0 174
v 237 2 5
v 238 3 5
v 239 2 45
v 240 4 1
v 241 1 115
v 242 4 18
v 243 3 1099
v 244 0 3
v 245 0 399
v 246 3 14
v 247 0 32
v 248 1 27
v 249 4 44
v 250 3 3
v 251 2 5
v 252 3 5
v 253 3 9
v 254 0 6
v 255 1 226
v 256 0 1068
v 257 0 9
v 258 3 87
v 259 0 76
v 260 4 159
v 261 2 6
v 262 4 141
v 263 2 4
v 264 3 67
v 265 2 17
v 266 4 327
v 267 0 14
v 268 4 184
v 269 0 60
v 270 0 160
v 271 0 17
v 272 2 45
v 273 3 258
v 274 1 16
v 275 2 139
v 276 2 3
v 277 1 10
v 278 4 74
v 279 4 21
v 280 3 3
v 281 4 3
v 282 1 1261
v 283 1 1
v 284 2 3
v 285 4 2
v 286 3 109
v 287 1 102
v 288 2 158
v 289 4 29
v 290 1 11
v 291 0 297
v 292 4 25
v 293 1 8
v 294 4 3
v 295 2 11
v 296 2 25
v 297 4 41
v 298 2 5
v 299 1 9
v 300 0 2
v 301 2 4
v 302 4 148
v 303 0 96
v 304 1 240
v 305 2 8
v 306 0 1245
v 307 2 158
v 308 1 6
v 309 0 5
v 310 2 213
v 311 1 2
v 312 4 7
v 313 2 4
v 314 2 23
v 315 1 31
v 316 0 81
v 317 0 25
v 318 1 38
v 319 4 26
v 320 4 144
v 321 3 4
v 322 0 4
v 323 0 3
